,Occupations,year,County,YearlyNumEmpbyCounty
336,Sales and related occupations,2011,"Kings County, New York",163864.0
337,Sales and related occupations,2011,"New York County, New York",173241.0
338,Sales and related occupations,2011,"Queens County, New York",186306.0
339,Sales and related occupations,2011,"Richmond County, New York",37745.0
340,Office and administrative support occupations,2011,"Bronx County, New York",129945.0
341,Office and administrative support occupations,2011,"Kings County, New York",222807.0
342,Office and administrative support occupations,2011,"New York County, New York",146242.0
343,Office and administrative support occupations,2011,"Queens County, New York",225589.0
344,Office and administrative support occupations,2011,"Richmond County, New York",52223.5
345,"Farming, fishing, and forestry occupations",2011,"Bronx County, New York",4794.0
346,"Farming, fishing, and forestry occupations",2011,"Kings County, New York",1458.0
347,"Farming, fishing, and forestry occupations",2011,"New York County, New York",570.0
348,"Farming, fishing, and forestry occupations",2011,"Queens County, New York",1685.0
349,"Farming, fishing, and forestry occupations",2011,"Richmond County, New York",202.0
350,Construction and extraction occupations,2011,"Bronx County, New York",41558.0
351,Construction and extraction occupations,2011,"Kings County, New York",77826.0
352,Construction and extraction occupations,2011,"New York County, New York",19126.0
353,Construction and extraction occupations,2011,"Queens County, New York",112155.0
354,Construction and extraction occupations,2011,"Richmond County, New York",25173.5
355,"Installation, maintenance, and repair occupations",2011,"Bronx County, New York",22716.75
356,"Installation, maintenance, and repair occupations",2011,"Kings County, New York",34729.0
357,"Installation, maintenance, and repair occupations",2011,"New York County, New York",10420.0
358,"Installation, maintenance, and repair occupations",2011,"Queens County, New York",35726.0
359,"Installation, maintenance, and repair occupations",2011,"Richmond County, New York",11072.5
360,Production occupations,2011,"Bronx County, New York",30859.0
361,Production occupations,2011,"Kings County, New York",58523.0
362,Production occupations,2011,"New York County, New York",24262.0
363,Production occupations,2011,"Queens County, New York",58156.0
364,Production occupations,2011,"Richmond County, New York",8804.5
365,Transportation occupations,2011,"Bronx County, New York",41191.5
366,Transportation occupations,2011,"Kings County, New York",69740.0
367,Transportation occupations,2011,"New York County, New York",30888.0
368,Transportation occupations,2011,"Queens County, New York",77238.0
369,Transportation occupations,2011,"Richmond County, New York",16009.0
370,Material moving occupations,2011,"Bronx County, New York",17400.75
371,Material moving occupations,2011,"Kings County, New York",26579.0
372,Material moving occupations,2011,"New York County, New York",11619.0
373,Material moving occupations,2011,"Queens County, New York",26789.0
374,Material moving occupations,2011,"Richmond County, New York",5277.5
500,Management occupations,2012,"Bronx County, New York",48510.5
501,Management occupations,2012,"Kings County, New York",157775.0
502,Management occupations,2012,"New York County, New York",234953.0
503,Management occupations,2012,"Queens County, New York",131309.0
504,Management occupations,2012,"Richmond County, New York",30890.0
505,Business and financial operations occupations,2012,"Bronx County, New York",25277.75
506,Business and financial operations occupations,2012,"Kings County, New York",77321.0
507,Business and financial operations occupations,2012,"New York County, New York",155503.0
508,Business and financial operations occupations,2012,"Queens County, New York",73809.0
509,Business and financial operations occupations,2012,"Richmond County, New York",16902.875
510,Computer and mathematical occupations,2012,"Bronx County, New York",9931.25
511,Computer and mathematical occupations,2012,"Kings County, New York",43892.0
512,Computer and mathematical occupations,2012,"New York County, New York",49190.0
513,Computer and mathematical occupations,2012,"Queens County, New York",33071.0
514,Computer and mathematical occupations,2012,"Richmond County, New York",9427.0
515,Architecture and engineering occupations,2012,"Bronx County, New York",4209.75
516,Architecture and engineering occupations,2012,"Kings County, New York",15814.0
517,Architecture and engineering occupations,2012,"New York County, New York",16698.0
518,Architecture and engineering occupations,2012,"Queens County, New York",16130.0
519,Architecture and engineering occupations,2012,"Richmond County, New York",4625.25
520,"Life, physical, and social science occupations",2012,"Bronx County, New York",3920.5
521,"Life, physical, and social science occupations",2012,"Kings County, New York",12783.0
522,"Life, physical, and social science occupations",2012,"New York County, New York",25081.0
523,"Life, physical, and social science occupations",2012,"Queens County, New York",8587.0
524,"Life, physical, and social science occupations",2012,"Richmond County, New York",2442.75
525,Community and social service occupations,2012,"Bronx County, New York",19228.5
526,Community and social service occupations,2012,"Kings County, New York",40464.0
