,Occupations,year,County,YearlyNumEmpbyCounty
1612,Production occupations,2016,"New York County, New York",20782.0
1613,Production occupations,2016,"Queens County, New York",52587.0
1614,Production occupations,2016,"Richmond County, New York",7024.5
1615,Transportation occupations,2016,"Bronx County, New York",67472.5
1616,Transportation occupations,2016,"Kings County, New York",80195.0
1617,Transportation occupations,2016,"New York County, New York",28969.0
1618,Transportation occupations,2016,"Queens County, New York",102989.0
1619,Transportation occupations,2016,"Richmond County, New York",16103.0
1620,Material moving occupations,2016,"Bronx County, New York",18119.75
1621,Material moving occupations,2016,"Kings County, New York",26321.0
1622,Material moving occupations,2016,"New York County, New York",6514.0
1623,Material moving occupations,2016,"Queens County, New York",25595.0
1624,Material moving occupations,2016,"Richmond County, New York",5974.5
1750,Management occupations,2017,"Bronx County, New York",57412.5
1751,Management occupations,2017,"Kings County, New York",212226.0
1752,Management occupations,2017,"New York County, New York",273138.0
1753,Management occupations,2017,"Queens County, New York",147787.0
1754,Management occupations,2017,"Richmond County, New York",37217.5
1755,Business and financial operations occupations,2017,"Bronx County, New York",28971.75
1756,Business and financial operations occupations,2017,"Kings County, New York",99246.0
1757,Business and financial operations occupations,2017,"New York County, New York",166441.0
1758,Business and financial operations occupations,2017,"Queens County, New York",92851.0
1759,Business and financial operations occupations,2017,"Richmond County, New York",20756.375
1760,Computer and mathematical occupations,2017,"Bronx County, New York",9322.25
1761,Computer and mathematical occupations,2017,"Kings County, New York",60726.0
1762,Computer and mathematical occupations,2017,"New York County, New York",58181.0
1763,Computer and mathematical occupations,2017,"Queens County, New York",46805.0
1764,Computer and mathematical occupations,2017,"Richmond County, New York",9582.0
1765,Architecture and engineering occupations,2017,"Bronx County, New York",5880.75
1766,Architecture and engineering occupations,2017,"Kings County, New York",22596.0
1767,Architecture and engineering occupations,2017,"New York County, New York",19622.0
1768,Architecture and engineering occupations,2017,"Queens County, New York",16103.0
1769,Architecture and engineering occupations,2017,"Richmond County, New York",5472.75
1770,"Life, physical, and social science occupations",2017,"Bronx County, New York",3370.5
1771,"Life, physical, and social science occupations",2017,"Kings County, New York",14815.0
1772,"Life, physical, and social science occupations",2017,"New York County, New York",29205.0
1773,"Life, physical, and social science occupations",2017,"Queens County, New York",7630.0
1774,"Life, physical, and social science occupations",2017,"Richmond County, New York",1646.75
1775,Community and social service occupations,2017,"Bronx County, New York",27409.5
1776,Community and social service occupations,2017,"Kings County, New York",40048.0
1777,Community and social service occupations,2017,"New York County, New York",30167.0
1778,Community and social service occupations,2017,"Queens County, New York",32516.0
1779,Community and social service occupations,2017,"Richmond County, New York",8160.375
1780,Legal occupations,2017,"Bronx County, New York",5453.25
1781,Legal occupations,2017,"Kings County, New York",40681.0
1782,Legal occupations,2017,"New York County, New York",72901.0
1783,Legal occupations,2017,"Queens County, New York",19503.0
1784,Legal occupations,2017,"Richmond County, New York",5849.625
1785,"Education, training, and library occupations",2017,"Bronx County, New York",53810.0
1786,"Education, training, and library occupations",2017,"Kings County, New York",144175.0
1787,"Education, training, and library occupations",2017,"New York County, New York",95088.0
1788,"Education, training, and library occupations",2017,"Queens County, New York",100515.0
1789,"Education, training, and library occupations",2017,"Richmond County, New York",35051.25
1790,"Arts, design, entertainment, sports, and media occupations",2017,"Bronx County, New York",13546.5
1791,"Arts, design, entertainment, sports, and media occupations",2017,"Kings County, New York",155346.0
1792,"Arts, design, entertainment, sports, and media occupations",2017,"New York County, New York",144929.0
1793,"Arts, design, entertainment, sports, and media occupations",2017,"Queens County, New York",47411.0
1794,"Arts, design, entertainment, sports, and media occupations",2017,"Richmond County, New York",7379.5
1795,Health diagnosing and treating practitioners and other technical occupations,2017,"Bronx County, New York",19373.0
1796,Health diagnosing and treating practitioners and other technical occupations,2017,"Kings County, New York",64910.0
1797,Health diagnosing and treating practitioners and other technical occupations,2017,"New York County, New York",74734.0
1798,Health diagnosing and treating practitioners and other technical occupations,2017,"Queens County, New York",62442.0
1799,Health diagnosing and treating practitioners and other technical occupations,2017,"Richmond County, New York",18319.625
1800,Health technologists and technicians,2017,"Bronx County, New York",16315.0
1801,Health technologists and technicians,2017,"Kings County, New York",25368.0
1802,Health technologists and technicians,2017,"New York County, New York",10209.0
1803,Health technologists and technicians,2017,"Queens County, New York",32842.0
1804,Health technologists and technicians,2017,"Richmond County, New York",8221.125
1805,Healthcare support occupations,2017,"Bronx County, New York",86185.5
1806,Healthcare support occupations,2017,"Kings County, New York",97884.0
1807,Healthcare support occupations,2017,"New York County, New York",36034.0
1808,Healthcare support occupations,2017,"Queens County, New York",68355.0
1809,Healthcare support occupations,2017,"Richmond County, New York",12704.75
1810,"Fire fighting and prevention, and other protective service workers including supervisors",2017,"Bronx County, New York",28985.0
1811,"Fire fighting and prevention, and other protective service workers including supervisors",2017,"Kings County, New York",30574.0
1812,"Fire fighting and prevention, and other protective service workers including supervisors",2017,"New York County, New York",11683.0
1813,"Fire fighting and prevention, and other protective service workers including supervisors",2017,"Queens County, New York",27284.0
1814,"Fire fighting and prevention, and other protective service workers including supervisors",2017,"Richmond County, New York",8766.125
1815,Law enforcement workers including supervisors,2017,"Bronx County, New York",8865.75
1816,Law enforcement workers including supervisors,2017,"Kings County, New York",16392.0
1817,Law enforcement workers including supervisors,2017,"New York County, New York",6192.0
1818,Law enforcement workers including supervisors,2017,"Queens County, New York",18601.0
1819,Law enforcement workers including supervisors,2017,"Richmond County, New York",12522.75
1820,Food preparation and serving related occupations,2017,"Bronx County, New York",74025.75
1821,Food preparation and serving related occupations,2017,"Kings County, New York",96801.0
1822,Food preparation and serving related occupations,2017,"New York County, New York",75106.0
1823,Food preparation and serving related occupations,2017,"Queens County, New York",125265.0
1824,Food preparation and serving related occupations,2017,"Richmond County, New York",13342.25
1825,Building and grounds cleaning and maintenance occupations,2017,"Bronx County, New York",79894.5
1826,Building and grounds cleaning and maintenance occupations,2017,"Kings County, New York",69772.0
1827,Building and grounds cleaning and maintenance occupations,2017,"New York County, New York",35481.0
1828,Building and grounds cleaning and maintenance occupations,2017,"Queens County, New York",108791.0
1829,Building and grounds cleaning and maintenance occupations,2017,"Richmond County, New York",11061.125
1830,Personal care and service occupations,2017,"Bronx County, New York",70194.75
1831,Personal care and service occupations,2017,"Kings County, New York",83978.0
1832,Personal care and service occupations,2017,"New York County, New York",60528.0
1833,Personal care and service occupations,2017,"Queens County, New York",97959.0
1834,Personal care and service occupations,2017,"Richmond County, New York",11232.625
1835,Sales and related occupations,2017,"Bronx County, New York",87672.25
1836,Sales and related occupations,2017,"Kings County, New York",172564.0
1837,Sales and related occupations,2017,"New York County, New York",170938.0
1838,Sales and related occupations,2017,"Queens County, New York",161703.0
1839,Sales and related occupations,2017,"Richmond County, New York",34298.125
1840,Office and administrative support occupations,2017,"Bronx County, New York",150954.0
1841,Office and administrative support occupations,2017,"Kings County, New York",228816.0
1842,Office and administrative support occupations,2017,"New York County, New York",140491.0
1843,Office and administrative support occupations,2017,"Queens County, New York",225543.0
1844,Office and administrative support occupations,2017,"Richmond County, New York",51954.125
1845,"Farming, fishing, and forestry occupations",2017,"Bronx County, New York",1447.0
1846,"Farming, fishing, and forestry occupations",2017,"Kings County, New York",1636.0
1847,"Farming, fishing, and forestry occupations",2017,"New York County, New York",712.0
1848,"Farming, fishing, and forestry occupations",2017,"Queens County, New York",1592.0
1849,"Farming, fishing, and forestry occupations",2017,"Richmond County, New York",66.125
1850,Construction and extraction occupations,2017,"Bronx County, New York",47275.0
1851,Construction and extraction occupations,2017,"Kings County, New York",88823.0
1852,Construction and extraction occupations,2017,"New York County, New York",26364.0
1853,Construction and extraction occupations,2017,"Queens County, New York",120166.0
1854,Construction and extraction occupations,2017,"Richmond County, New York",24239.5
1855,"Installation, maintenance, and repair occupations",2017,"Bronx County, New York",20030.75
1856,"Installation, maintenance, and repair occupations",2017,"Kings County, New York",27591.0
1857,"Installation, maintenance, and repair occupations",2017,"New York County, New York",16369.0
1858,"Installation, maintenance, and repair occupations",2017,"Queens County, New York",43523.0
1859,"Installation, maintenance, and repair occupations",2017,"Richmond County, New York",8451.875
1860,Production occupations,2017,"Bronx County, New York",27125.0
1861,Production occupations,2017,"Kings County, New York",43355.0
1862,Production occupations,2017,"New York County, New York",28422.0
1863,Production occupations,2017,"Queens County, New York",51811.0
1864,Production occupations,2017,"Richmond County, New York",8226.25
1865,Transportation occupations,2017,"Bronx County, New York",61070.5
1866,Transportation occupations,2017,"Kings County, New York",84964.0
1867,Transportation occupations,2017,"New York County, New York",26787.0
1868,Transportation occupations,2017,"Queens County, New York",104536.0
1869,Transportation occupations,2017,"Richmond County, New York",15849.375
1870,Material moving occupations,2017,"Bronx County, New York",22587.75
1871,Material moving occupations,2017,"Kings County, New York",25936.0
1872,Material moving occupations,2017,"New York County, New York",10800.0
1873,Material moving occupations,2017,"Queens County, New York",33554.0
1874,Material moving occupations,2017,"Richmond County, New York",8024.375
2000,Management occupations,2018,"Bronx County, New York",56230.0
2001,Management occupations,2018,"Kings County, New York",192068.0
2002,Management occupations,2018,"New York County, New York",267181.0
2003,Management occupations,2018,"Queens County, New York",145403.0
2004,Management occupations,2018,"Richmond County, New York",32486.5
2005,Business and financial operations occupations,2018,"Bronx County, New York",24494.0
2006,Business and financial operations occupations,2018,"Kings County, New York",118134.0
2007,Business and financial operations occupations,2018,"New York County, New York",166251.0
2008,Business and financial operations occupations,2018,"Queens County, New York",88904.0
2009,Business and financial operations occupations,2018,"Richmond County, New York",21938.5
2010,Computer and mathematical occupations,2018,"Bronx County, New York",14165.0
2011,Computer and mathematical occupations,2018,"Kings County, New York",70974.0
2012,Computer and mathematical occupations,2018,"New York County, New York",74313.0
2013,Computer and mathematical occupations,2018,"Queens County, New York",42626.0
2014,Computer and mathematical occupations,2018,"Richmond County, New York",10142.0
2015,Architecture and engineering occupations,2018,"Bronx County, New York",2182.0
2016,Architecture and engineering occupations,2018,"Kings County, New York",20275.0
2017,Architecture and engineering occupations,2018,"New York County, New York",19353.0
2018,Architecture and engineering occupations,2018,"Queens County, New York",22526.0
2019,Architecture and engineering occupations,2018,"Richmond County, New York",3770.5
2020,"Life, physical, and social science occupations",2018,"Bronx County, New York",3813.0
2021,"Life, physical, and social science occupations",2018,"Kings County, New York",16687.0
2022,"Life, physical, and social science occupations",2018,"New York County, New York",30922.0
2023,"Life, physical, and social science occupations",2018,"Queens County, New York",11535.0
2024,"Life, physical, and social science occupations",2018,"Richmond County, New York",2005.0
2025,Community and social service occupations,2018,"Bronx County, New York",24046.0
2026,Community and social service occupations,2018,"Kings County, New York",37078.0
2027,Community and social service occupations,2018,"New York County, New York",20701.0
2028,Community and social service occupations,2018,"Queens County, New York",25239.0
2029,Community and social service occupations,2018,"Richmond County, New York",8125.5
2030,Legal occupations,2018,"Bronx County, New York",8601.0
2031,Legal occupations,2018,"Kings County, New York",41122.0
2032,Legal occupations,2018,"New York County, New York",64111.0
2033,Legal occupations,2018,"Queens County, New York",23531.0
2034,Legal occupations,2018,"Richmond County, New York",4218.0
2035,"Education, training, and library occupations",2018,"Bronx County, New York",49400.0
2036,"Education, training, and library occupations",2018,"Kings County, New York",151506.0
2037,"Education, training, and library occupations",2018,"New York County, New York",121447.0
2038,"Education, training, and library occupations",2018,"Queens County, New York",95922.0
2039,"Education, training, and library occupations",2018,"Richmond County, New York",33760.0
2040,"Arts, design, entertainment, sports, and media occupations",2018,"Bronx County, New York",17539.0
2041,"Arts, design, entertainment, sports, and media occupations",2018,"Kings County, New York",153866.0
2042,"Arts, design, entertainment, sports, and media occupations",2018,"New York County, New York",125962.0
2043,"Arts, design, entertainment, sports, and media occupations",2018,"Queens County, New York",51233.0
2044,"Arts, design, entertainment, sports, and media occupations",2018,"Richmond County, New York",6866.5
2045,Health diagnosing and treating practitioners and other technical occupations,2018,"Bronx County, New York",22714.0
2046,Health diagnosing and treating practitioners and other technical occupations,2018,"Kings County, New York",65352.0
2047,Health diagnosing and treating practitioners and other technical occupations,2018,"New York County, New York",65181.0
2048,Health diagnosing and treating practitioners and other technical occupations,2018,"Queens County, New York",64789.0
2049,Health diagnosing and treating practitioners and other technical occupations,2018,"Richmond County, New York",17269.5
2050,Health technologists and technicians,2018,"Bronx County, New York",16270.0
2051,Health technologists and technicians,2018,"Kings County, New York",25569.0
2052,Health technologists and technicians,2018,"New York County, New York",9269.0
2053,Health technologists and technicians,2018,"Queens County, New York",27310.0
2054,Health technologists and technicians,2018,"Richmond County, New York",7588.0
2055,Healthcare support occupations,2018,"Bronx County, New York",104365.0
2056,Healthcare support occupations,2018,"Kings County, New York",114123.0
2057,Healthcare support occupations,2018,"New York County, New York",42412.0
2058,Healthcare support occupations,2018,"Queens County, New York",75661.0
2059,Healthcare support occupations,2018,"Richmond County, New York",14734.5
2060,"Fire fighting and prevention, and other protective service workers including supervisors",2018,"Bronx County, New York",26483.0
2061,"Fire fighting and prevention, and other protective service workers including supervisors",2018,"Kings County, New York",31092.0
2062,"Fire fighting and prevention, and other protective service workers including supervisors",2018,"New York County, New York",12434.0
2063,"Fire fighting and prevention, and other protective service workers including supervisors",2018,"Queens County, New York",26609.0
2064,"Fire fighting and prevention, and other protective service workers including supervisors",2018,"Richmond County, New York",12549.5
2065,Law enforcement workers including supervisors,2018,"Bronx County, New York",10011.0
2066,Law enforcement workers including supervisors,2018,"Kings County, New York",16759.0
2067,Law enforcement workers including supervisors,2018,"New York County, New York",5337.0
2068,Law enforcement workers including supervisors,2018,"Queens County, New York",19838.0
2069,Law enforcement workers including supervisors,2018,"Richmond County, New York",8873.5
2070,Food preparation and serving related occupations,2018,"Bronx County, New York",70854.0
2071,Food preparation and serving related occupations,2018,"Kings County, New York",101100.0
2072,Food preparation and serving related occupations,2018,"New York County, New York",65803.0
2073,Food preparation and serving related occupations,2018,"Queens County, New York",125107.0
2074,Food preparation and serving related occupations,2018,"Richmond County, New York",14555.0
2075,Building and grounds cleaning and maintenance occupations,2018,"Bronx County, New York",74937.0
2076,Building and grounds cleaning and maintenance occupations,2018,"Kings County, New York",72363.0
2077,Building and grounds cleaning and maintenance occupations,2018,"New York County, New York",42927.0
2078,Building and grounds cleaning and maintenance occupations,2018,"Queens County, New York",96231.0
2079,Building and grounds cleaning and maintenance occupations,2018,"Richmond County, New York",11479.5
2080,Personal care and service occupations,2018,"Bronx County, New York",52816.0
2081,Personal care and service occupations,2018,"Kings County, New York",69732.0
2082,Personal care and service occupations,2018,"New York County, New York",48348.0
2083,Personal care and service occupations,2018,"Queens County, New York",76578.0
2084,Personal care and service occupations,2018,"Richmond County, New York",13949.5
2085,Sales and related occupations,2018,"Bronx County, New York",91363.0
2086,Sales and related occupations,2018,"Kings County, New York",163116.0
2087,Sales and related occupations,2018,"New York County, New York",154792.0
2088,Sales and related occupations,2018,"Queens County, New York",149044.0
2089,Sales and related occupations,2018,"Richmond County, New York",34268.0
2090,Office and administrative support occupations,2018,"Bronx County, New York",117951.0
2091,Office and administrative support occupations,2018,"Kings County, New York",204999.0
2092,Office and administrative support occupations,2018,"New York County, New York",136643.0
2093,Office and administrative support occupations,2018,"Queens County, New York",196579.0
2094,Office and administrative support occupations,2018,"Richmond County, New York",47615.5
2095,"Farming, fishing, and forestry occupations",2018,"Bronx County, New York",1072.0
2096,"Farming, fishing, and forestry occupations",2018,"Kings County, New York",930.0
2097,"Farming, fishing, and forestry occupations",2018,"New York County, New York",662.0
2098,"Farming, fishing, and forestry occupations",2018,"Queens County, New York",446.0
2099,"Farming, fishing, and forestry occupations",2018,"Richmond County, New York",52.0
2100,Construction and extraction occupations,2018,"Bronx County, New York",45411.0
2101,Construction and extraction occupations,2018,"Kings County, New York",89155.0
2102,Construction and extraction occupations,2018,"New York County, New York",25482.0
2103,Construction and extraction occupations,2018,"Queens County, New York",125011.0
2104,Construction and extraction occupations,2018,"Richmond County, New York",25134.5
2105,"Installation, maintenance, and repair occupations",2018,"Bronx County, New York",20148.0
2106,"Installation, maintenance, and repair occupations",2018,"Kings County, New York",20248.0
2107,"Installation, maintenance, and repair occupations",2018,"New York County, New York",8224.0
2108,"Installation, maintenance, and repair occupations",2018,"Queens County, New York",38747.0
2109,"Installation, maintenance, and repair occupations",2018,"Richmond County, New York",7912.5
2110,Production occupations,2018,"Bronx County, New York",29078.0
2111,Production occupations,2018,"Kings County, New York",40629.0
2112,Production occupations,2018,"New York County, New York",22017.0
2113,Production occupations,2018,"Queens County, New York",49489.0
2114,Production occupations,2018,"Richmond County, New York",9348.5
2115,Transportation occupations,2018,"Bronx County, New York",66079.0
2116,Transportation occupations,2018,"Kings County, New York",80049.0
2117,Transportation occupations,2018,"New York County, New York",26315.0
2118,Transportation occupations,2018,"Queens County, New York",115624.0
2119,Transportation occupations,2018,"Richmond County, New York",17341.0
2120,Material moving occupations,2018,"Bronx County, New York",32926.0
2121,Material moving occupations,2018,"Kings County, New York",36198.0
2122,Material moving occupations,2018,"New York County, New York",19379.0
2123,Material moving occupations,2018,"Queens County, New York",37456.0
2124,Material moving occupations,2018,"Richmond County, New York",8982.5
2250,Management occupations,2019,"Bronx County, New York",62136.0
2251,Management occupations,2019,"Kings County, New York",214014.0
2252,Management occupations,2019,"New York County, New York",282479.0
2253,Management occupations,2019,"Queens County, New York",152700.0
2254,Management occupations,2019,"Richmond County, New York",37211.5
2255,Business and financial operations occupations,2019,"Bronx County, New York",25440.0
2256,Business and financial operations occupations,2019,"Kings County, New York",113865.0
2257,Business and financial operations occupations,2019,"New York County, New York",184096.0
2258,Business and financial operations occupations,2019,"Queens County, New York",90034.0
2259,Business and financial operations occupations,2019,"Richmond County, New York",24348.5
2260,Computer and mathematical occupations,2019,"Bronx County, New York",10267.0
2261,Computer and mathematical occupations,2019,"Kings County, New York",70455.0
2262,Computer and mathematical occupations,2019,"New York County, New York",72262.0
2263,Computer and mathematical occupations,2019,"Queens County, New York",47075.0
2264,Computer and mathematical occupations,2019,"Richmond County, New York",12434.0
2265,Architecture and engineering occupations,2019,"Bronx County, New York",6264.0
2266,Architecture and engineering occupations,2019,"Kings County, New York",24379.0
2267,Architecture and engineering occupations,2019,"New York County, New York",20382.0
2268,Architecture and engineering occupations,2019,"Queens County, New York",20745.0
2269,Architecture and engineering occupations,2019,"Richmond County, New York",3608.5
2270,"Life, physical, and social science occupations",2019,"Bronx County, New York",2093.0
2271,"Life, physical, and social science occupations",2019,"Kings County, New York",17696.0
2272,"Life, physical, and social science occupations",2019,"New York County, New York",30367.0
2273,"Life, physical, and social science occupations",2019,"Queens County, New York",9404.0
2274,"Life, physical, and social science occupations",2019,"Richmond County, New York",2326.0
2275,Community and social service occupations,2019,"Bronx County, New York",28279.0
2276,Community and social service occupations,2019,"Kings County, New York",43201.0
2277,Community and social service occupations,2019,"New York County, New York",26024.0
2278,Community and social service occupations,2019,"Queens County, New York",27778.0
2279,Community and social service occupations,2019,"Richmond County, New York",8439.5
2280,Legal occupations,2019,"Bronx County, New York",6080.0
2281,Legal occupations,2019,"Kings County, New York",46285.0
2282,Legal occupations,2019,"New York County, New York",66038.0
2283,Legal occupations,2019,"Queens County, New York",22719.0
2284,Legal occupations,2019,"Richmond County, New York",6270.0
2285,"Education, training, and library occupations",2019,"Bronx County, New York",46340.0
2286,"Education, training, and library occupations",2019,"Kings County, New York",149268.0
2287,"Education, training, and library occupations",2019,"New York County, New York",116607.0
2288,"Education, training, and library occupations",2019,"Queens County, New York",110225.0
2289,"Education, training, and library occupations",2019,"Richmond County, New York",37273.0
2290,"Arts, design, entertainment, sports, and media occupations",2019,"Bronx County, New York",11896.0
2291,"Arts, design, entertainment, sports, and media occupations",2019,"Kings County, New York",143244.0
2292,"Arts, design, entertainment, sports, and media occupations",2019,"New York County, New York",131049.0
2293,"Arts, design, entertainment, sports, and media occupations",2019,"Queens County, New York",55646.0
2294,"Arts, design, entertainment, sports, and media occupations",2019,"Richmond County, New York",7510.5
2295,Health diagnosing and treating practitioners and other technical occupations,2019,"Bronx County, New York",23905.0
2296,Health diagnosing and treating practitioners and other technical occupations,2019,"Kings County, New York",65543.0
2297,Health diagnosing and treating practitioners and other technical occupations,2019,"New York County, New York",70043.0
2298,Health diagnosing and treating practitioners and other technical occupations,2019,"Queens County, New York",60834.0
2299,Health diagnosing and treating practitioners and other technical occupations,2019,"Richmond County, New York",21151.5
2300,Health technologists and technicians,2019,"Bronx County, New York",13735.0
2301,Health technologists and technicians,2019,"Kings County, New York",29783.0
2302,Health technologists and technicians,2019,"New York County, New York",12168.0
2303,Health technologists and technicians,2019,"Queens County, New York",25852.0
2304,Health technologists and technicians,2019,"Richmond County, New York",6920.0
2305,Healthcare support occupations,2019,"Bronx County, New York",103772.0
2306,Healthcare support occupations,2019,"Kings County, New York",117654.0
2307,Healthcare support occupations,2019,"New York County, New York",44474.0
2308,Healthcare support occupations,2019,"Queens County, New York",89578.0
2309,Healthcare support occupations,2019,"Richmond County, New York",14762.5
2310,"Fire fighting and prevention, and other protective service workers including supervisors",2019,"Bronx County, New York",31639.0
2311,"Fire fighting and prevention, and other protective service workers including supervisors",2019,"Kings County, New York",29137.0
2312,"Fire fighting and prevention, and other protective service workers including supervisors",2019,"New York County, New York",17824.0
2313,"Fire fighting and prevention, and other protective service workers including supervisors",2019,"Queens County, New York",29417.0
2314,"Fire fighting and prevention, and other protective service workers including supervisors",2019,"Richmond County, New York",12066.5
2315,Law enforcement workers including supervisors,2019,"Bronx County, New York",10594.0
2316,Law enforcement workers including supervisors,2019,"Kings County, New York",15785.0
2317,Law enforcement workers including supervisors,2019,"New York County, New York",5985.0
2318,Law enforcement workers including supervisors,2019,"Queens County, New York",17344.0
2319,Law enforcement workers including supervisors,2019,"Richmond County, New York",11591.5
2320,Food preparation and serving related occupations,2019,"Bronx County, New York",81056.0
2321,Food preparation and serving related occupations,2019,"Kings County, New York",97779.0
2322,Food preparation and serving related occupations,2019,"New York County, New York",69148.0
2323,Food preparation and serving related occupations,2019,"Queens County, New York",122730.0
2324,Food preparation and serving related occupations,2019,"Richmond County, New York",16502.0
2325,Building and grounds cleaning and maintenance occupations,2019,"Bronx County, New York",76247.0
2326,Building and grounds cleaning and maintenance occupations,2019,"Kings County, New York",65016.0
2327,Building and grounds cleaning and maintenance occupations,2019,"New York County, New York",36854.0
2328,Building and grounds cleaning and maintenance occupations,2019,"Queens County, New York",89892.0
2329,Building and grounds cleaning and maintenance occupations,2019,"Richmond County, New York",12549.5
2330,Personal care and service occupations,2019,"Bronx County, New York",47340.0
2331,Personal care and service occupations,2019,"Kings County, New York",67149.0
2332,Personal care and service occupations,2019,"New York County, New York",53292.0
2333,Personal care and service occupations,2019,"Queens County, New York",77234.0
2334,Personal care and service occupations,2019,"Richmond County, New York",8847.5
2335,Sales and related occupations,2019,"Bronx County, New York",84164.0
2336,Sales and related occupations,2019,"Kings County, New York",169608.0
2337,Sales and related occupations,2019,"New York County, New York",170144.0
2338,Sales and related occupations,2019,"Queens County, New York",149560.0
2339,Sales and related occupations,2019,"Richmond County, New York",32451.0
2340,Office and administrative support occupations,2019,"Bronx County, New York",109083.0
2341,Office and administrative support occupations,2019,"Kings County, New York",186756.0
2342,Office and administrative support occupations,2019,"New York County, New York",111342.0
2343,Office and administrative support occupations,2019,"Queens County, New York",184671.0
2344,Office and administrative support occupations,2019,"Richmond County, New York",42606.5
2345,"Farming, fishing, and forestry occupations",2019,"Bronx County, New York",2408.0
2346,"Farming, fishing, and forestry occupations",2019,"Kings County, New York",514.0
2347,"Farming, fishing, and forestry occupations",2019,"New York County, New York",728.0
2348,"Farming, fishing, and forestry occupations",2019,"Queens County, New York",1004.0
2349,"Farming, fishing, and forestry occupations",2019,"Richmond County, New York",536.0
2350,Construction and extraction occupations,2019,"Bronx County, New York",50280.0
2351,Construction and extraction occupations,2019,"Kings County, New York",89476.0
2352,Construction and extraction occupations,2019,"New York County, New York",22124.0
2353,Construction and extraction occupations,2019,"Queens County, New York",115634.0
2354,Construction and extraction occupations,2019,"Richmond County, New York",25913.5
2355,"Installation, maintenance, and repair occupations",2019,"Bronx County, New York",19724.0
2356,"Installation, maintenance, and repair occupations",2019,"Kings County, New York",29940.0
2357,"Installation, maintenance, and repair occupations",2019,"New York County, New York",10594.0
2358,"Installation, maintenance, and repair occupations",2019,"Queens County, New York",38296.0
2359,"Installation, maintenance, and repair occupations",2019,"Richmond County, New York",11835.5
2360,Production occupations,2019,"Bronx County, New York",35632.0
2361,Production occupations,2019,"Kings County, New York",39615.0
2362,Production occupations,2019,"New York County, New York",14833.0
2363,Production occupations,2019,"Queens County, New York",53373.0
2364,Production occupations,2019,"Richmond County, New York",6082.5
2365,Transportation occupations,2019,"Bronx County, New York",62086.0
2366,Transportation occupations,2019,"Kings County, New York",77396.0
2367,Transportation occupations,2019,"New York County, New York",32714.0
2368,Transportation occupations,2019,"Queens County, New York",94493.0
2369,Transportation occupations,2019,"Richmond County, New York",16147.0
2370,Material moving occupations,2019,"Bronx County, New York",35463.0
2371,Material moving occupations,2019,"Kings County, New York",36549.0
2372,Material moving occupations,2019,"New York County, New York",14094.0
2373,Material moving occupations,2019,"Queens County, New York",37500.0
2374,Material moving occupations,2019,"Richmond County, New York",9191.5
