,Occupations,NumEmps,year
13,Law enforcement workers including supervisors,60466.0,2019
14,Food preparation and serving related occupations,386234.0,2019
15,Building and grounds cleaning and maintenance occupations,279953.0,2019
16,Personal care and service occupations,252657.0,2019
17,Sales and related occupations,604196.0,2019
18,Office and administrative support occupations,632204.0,2019
19,"Farming, fishing, and forestry occupations",5190.0,2019
20,Construction and extraction occupations,302902.0,2019
21,"Installation, maintenance, and repair occupations",109984.0,2019
22,Production occupations,148952.0,2019
23,Transportation occupations,282241.0,2019
24,Material moving occupations,132244.0,2019
