,Occupations,"Bronx County, New York","Kings County, New York","New York County, New York","Queens County, New York","Richmond County, New York",year,Gender
59,Food preparation and serving related occupations,15457,15048,16709,16587,8185,2014,Female
60,Building and grounds cleaning and maintenance occupations,16578,15027,19865,17617,14912,2014,Female
61,Personal care and service occupations,14119,18458,17158,15100,17694,2014,Female
63,Sales and related occupations,15245,20309,50879,19878,27864,2014,Female
64,Office and administrative support occupations,33695,32181,38024,35048,33633,2014,Female
66,"Farming, fishing, and forestry occupations",4288,4044,,,,2014,Female
67,Construction and extraction occupations,35273,30128,37234,37378,80236,2014,Female
68,"Installation, maintenance, and repair occupations",52281,53114,42260,34746,,2014,Female
70,Production occupations,17171,17427,12380,20966,17639,2014,Female
71,Transportation occupations,23258,32243,48203,24874,25727,2014,Female
72,Material moving occupations,14539,19380,17940,18853,12051,2014,Female
4,Management occupations,50705,75244,120255,61529,82241,2015,Male
5,Business and financial operations occupations,56820,75175,105476,62360,70636,2015,Male
7,Computer and mathematical occupations,55789,80487,105242,76698,66859,2015,Male
8,Architecture and engineering occupations,60440,69780,70691,81485,76526,2015,Male
9,"Life, physical, and social science occupations",60906,68429,66519,61750,70572,2015,Male
11,Community and social service occupations,37856,37261,49143,39980,57006,2015,Male
12,Legal occupations,61862,102264,162037,92658,85452,2015,Male
13,"Education, training, and library occupations",43103,49485,60309,55003,70941,2015,Male
14,"Arts, design, entertainment, sports, and media occupations",35784,60201,60611,47785,40840,2015,Male
16,Health diagnosing and treating practitioners and other technical occupations,80287,87927,141168,79087,101928,2015,Male
17,Health technologists and technicians,40350,47595,42558,40616,36019,2015,Male
19,Healthcare support occupations,27765,26150,39757,28832,36498,2015,Male
21,"Fire fighting and prevention, and other protective service workers including supervisors",31007,26946,25342,42581,61939,2015,Male
22,Law enforcement workers including supervisors,63261,61807,87691,72068,95542,2015,Male
23,Food preparation and serving related occupations,18768,21691,22068,23044,25414,2015,Male
24,Building and grounds cleaning and maintenance occupations,30254,26992,25818,30160,34311,2015,Male
25,Personal care and service occupations,24960,21123,29148,26168,17038,2015,Male
27,Sales and related occupations,21825,35124,82437,31687,36302,2015,Male
28,Office and administrative support occupations,27270,32059,36967,33646,36278,2015,Male
30,"Farming, fishing, and forestry occupations",25739,31607,,26057,,2015,Male
31,Construction and extraction occupations,31852,32553,26828,32047,45729,2015,Male
32,"Installation, maintenance, and repair occupations",31711,41413,50456,45920,50727,2015,Male
34,Production occupations,28664,29450,30348,31150,51392,2015,Male
35,Transportation occupations,30775,30234,26570,30935,50149,2015,Male
36,Material moving occupations,21651,22256,21764,25764,44265,2015,Male
40,Management occupations,53073,70008,93148,61835,67681,2015,Female
41,Business and financial operations occupations,51814,60935,77239,55630,65765,2015,Female
43,Computer and mathematical occupations,45224,70758,81317,69200,80476,2015,Female
44,Architecture and engineering occupations,48274,66683,82150,57075,,2015,Female
45,"Life, physical, and social science occupations",51408,51839,49569,45045,71389,2015,Female
47,Community and social service occupations,40464,40936,51036,43775,36832,2015,Female
48,Legal occupations,51469,76365,126114,67162,90469,2015,Female
49,"Education, training, and library occupations",31867,36934,52707,40146,47648,2015,Female
50,"Arts, design, entertainment, sports, and media occupations",36592,51587,52236,42169,19844,2015,Female
52,Health diagnosing and treating practitioners and other technical occupations,66374,71751,76433,73946,74144,2015,Female
53,Health technologists and technicians,35351,40975,41831,43260,45345,2015,Female
55,Healthcare support occupations,20479,22947,20340,23190,20518,2015,Female
57,"Fire fighting and prevention, and other protective service workers including supervisors",25637,26137,27602,21983,12982,2015,Female
58,Law enforcement workers including supervisors,68754,56482,59663,54314,75198,2015,Female
59,Food preparation and serving related occupations,15812,15405,18407,17835,14615,2015,Female
60,Building and grounds cleaning and maintenance occupations,16136,15359,15391,16085,39269,2015,Female
61,Personal care and service occupations,13995,16922,20180,15550,16354,2015,Female
63,Sales and related occupations,15231,16906,46255,20232,24538,2015,Female
64,Office and administrative support occupations,31199,33690,37046,36105,35430,2015,Female
66,"Farming, fishing, and forestry occupations",,,3114,,,2015,Female
67,Construction and extraction occupations,33707,35992,60641,54857,,2015,Female
68,"Installation, maintenance, and repair occupations",46056,49610,22155,44249,62095,2015,Female
70,Production occupations,17223,18826,16460,19886,23853,2015,Female
71,Transportation occupations,26764,32005,41675,36954,31070,2015,Female
72,Material moving occupations,20236,20396,17927,21616,17037,2015,Female
4,Management occupations,51076,77194,130561,62212,90877,2016,Male
5,Business and financial operations occupations,55484,75600,106090,65599,66867,2016,Male
7,Computer and mathematical occupations,62620,79217,105291,72158,76000,2016,Male
8,Architecture and engineering occupations,51811,77416,85927,76323,80863,2016,Male
9,"Life, physical, and social science occupations",54063,69224,82380,73393,66559,2016,Male
11,Community and social service occupations,40562,42391,45915,45750,32975,2016,Male
12,Legal occupations,82057,122201,201297,79588,100063,2016,Male
13,"Education, training, and library occupations",33250,40668,51467,51756,66400,2016,Male
14,"Arts, design, entertainment, sports, and media occupations",31034,51448,60448,41355,52151,2016,Male
16,Health diagnosing and treating practitioners and other technical occupations,82529,73755,90507,90232,80703,2016,Male
