"Label","Bronx County, New York / White alone / Estimate","Bronx County, New York / White alone / Margin of Error","Bronx County, New York / Black or African American alone / Estimate","Bronx County, New York / Black or African American alone / Margin of Error","Bronx County, New York / Some other race alone / Estimate","Bronx County, New York / Some other race alone / Margin of Error","Bronx County, New York / Hispanic or Latino (of any race) (200-299) / Estimate","Bronx County, New York / Hispanic or Latino (of any race) (200-299) / Margin of Error","Bronx County, New York / Not Hispanic or Latino / Estimate","Bronx County, New York / Not Hispanic or Latino / Margin of Error","Kings County, New York / White alone / Estimate","Kings County, New York / White alone / Margin of Error","Kings County, New York / Black or African American alone / Estimate","Kings County, New York / Black or African American alone / Margin of Error","Kings County, New York / Asian alone (400-499) / Estimate","Kings County, New York / Asian alone (400-499) / Margin of Error","Kings County, New York / Some other race alone / Estimate","Kings County, New York / Some other race alone / Margin of Error","Kings County, New York / Hispanic or Latino (of any race) (200-299) / Estimate","Kings County, New York / Hispanic or Latino (of any race) (200-299) / Margin of Error","Kings County, New York / Not Hispanic or Latino / Estimate","Kings County, New York / Not Hispanic or Latino / Margin of Error","New York County, New York / White alone / Estimate","New York County, New York / White alone / Margin of Error","New York County, New York / Black or African American alone / Estimate","New York County, New York / Black or African American alone / Margin of Error","New York County, New York / Asian alone (400-499) / Estimate","New York County, New York / Asian alone (400-499) / Margin of Error","New York County, New York / Some other race alone / Estimate","New York County, New York / Some other race alone / Margin of Error","New York County, New York / Two or more races / Estimate","New York County, New York / Two or more races / Margin of Error","New York County, New York / Hispanic or Latino (of any race) (200-299) / Estimate","New York County, New York / Hispanic or Latino (of any race) (200-299) / Margin of Error","New York County, New York / Not Hispanic or Latino / Estimate","New York County, New York / Not Hispanic or Latino / Margin of Error","Queens County, New York / White alone / Estimate","Queens County, New York / White alone / Margin of Error","Queens County, New York / Black or African American alone / Estimate","Queens County, New York / Black or African American alone / Margin of Error","Queens County, New York / Asian alone (400-499) / Estimate","Queens County, New York / Asian alone (400-499) / Margin of Error","Queens County, New York / Some other race alone / Estimate","Queens County, New York / Some other race alone / Margin of Error","Queens County, New York / Two or more races / Estimate","Queens County, New York / Two or more races / Margin of Error","Queens County, New York / Hispanic or Latino (of any race) (200-299) / Estimate","Queens County, New York / Hispanic or Latino (of any race) (200-299) / Margin of Error","Queens County, New York / Not Hispanic or Latino / Estimate","Queens County, New York / Not Hispanic or Latino / Margin of Error"
"Under 5 years","5.5","0.4","6.9","0.2","8.8","0.3","8.4","*****","6.7","0.1","7.2","0.2","6.9","0.2","6.5","0.4","8.6","0.9","8.6","*****","7.1","0.1","4.5","0.2","5.4","0.4","3.7","0.7","6.8","1.1","13.6","2.7","6.7","*****","4.7","0.1","5.8","0.2","5.8","0.2","5.7","0.2","8.2","0.9","11.5","2.3","7.9","*****","5.6","0.1"
"5 to 17 years","13.1","0.9","18.1","0.5","20.8","0.7","19.8","*****","16.0","0.1","14.6","0.2","16.5","0.3","14.8","0.3","19.5","1.2","18.4","*****","15.3","0.1","7.0","0.3","13.2","0.9","7.0","0.5","15.7","1.2","18.8","4.0","14.3","*****","7.8","0.1","12.5","0.3","15.5","0.3","13.5","0.2","18.1","1.2","21.5","2.6","17.1","*****","13.1","0.1"
"18 to 24 years","10.0","0.7","11.1","0.3","13.1","0.5","12.7","*****","10.5","0.1","8.3","0.2","10.9","0.2","9.5","0.2","12.6","1.0","11.6","*****","9.3","0.1","8.2","0.2","10.8","0.6","10.8","0.6","14.1","1.2","8.7","2.7","11.8","*****","9.0","0.1","8.2","0.3","10.6","0.3","8.8","0.2","11.1","1.0","10.1","1.9","10.8","*****","8.6","0.1"
"25 to 34 years","13.3","0.8","14.6","0.4","16.2","0.5","15.9","*****","14.0","0.1","19.6","0.2","14.9","0.2","18.4","0.3","19.4","1.1","17.6","*****","17.8","0.1","24.8","0.3","16.8","0.9","27.2","1.0","18.2","1.5","20.6","3.9","17.9","*****","24.5","0.1","16.3","0.4","13.9","0.3","17.0","0.2","18.8","1.3","16.0","2.0","17.7","*****","15.7","0.1"
"35 to 44 years","10.9","0.7","12.8","0.3","14.0","0.5","13.0","*****","12.7","0.1","14.3","0.2","12.9","0.2","15.3","0.2","13.9","1.0","14.1","*****","13.7","0.1","15.0","0.3","12.3","0.7","18.4","0.6","13.2","1.5","14.9","3.1","13.6","*****","15.1","0.1","13.9","0.3","13.0","0.4","15.8","0.2","16.2","1.1","11.5","1.9","15.6","*****","13.9","0.1"
"45 to 54 years","13.2","0.8","14.7","0.3","12.6","0.5","12.6","*****","14.2","0.1","10.9","0.2","14.1","0.2","14.4","0.2","11.7","1.0","12.0","*****","12.5","0.1","12.7","0.3","14.6","0.6","11.3","0.4","12.5","1.4","7.0","2.0","12.6","*****","12.6","0.1","13.3","0.3","15.6","0.3","15.4","0.2","13.1","1.1","11.9","1.9","13.3","*****","14.5","0.1"
"55 to 64 years","13.5","0.7","11.1","0.3","7.7","0.5","8.9","*****","11.7","0.1","10.9","0.2","11.8","0.2","11.8","0.1","7.5","0.9","8.9","*****","11.4","0.1","11.9","0.2","12.7","0.8","10.1","0.4","9.2","1.3","7.6","2.4","10.7","*****","11.5","0.1","12.6","0.3","12.3","0.3","13.0","0.2","8.9","0.8","10.2","2.0","9.3","*****","13.3","0.1"
"65 to 74 years","9.6","0.6","6.4","0.3","4.3","0.3","5.2","*****","7.5","0.1","7.1","0.1","7.1","0.1","5.5","0.1","4.6","0.6","5.4","*****","6.9","0.1","8.8","0.2","7.7","0.4","5.4","0.6","6.4","1.0","5.0","1.6","6.8","*****","8.2","0.1","8.8","0.2","7.7","0.1","6.6","0.1","3.5","0.5","4.6","1.1","5.1","*****","8.2","0.1"
"75 years and over","10.9","0.6","4.4","0.2","2.6","0.3","3.5","*****","6.7","0.1","7.0","0.1","4.8","0.1","3.7","0.1","2.2","0.4","3.5","*****","5.8","0.1","7.1","0.2","6.5","0.4","6.0","0.2","4.0","0.8","3.9","1.2","5.7","*****","6.6","0.1","8.8","0.1","5.7","0.2","4.1","0.1","2.1","0.4","2.6","0.9","3.3","*****","7.2","0.1"
"Median age (years)","42.2","1.3","34.4","0.5","29.2","0.5","30.5","0.2","37.1","0.3","35.1","0.2","35.5","0.2","35.5","0.3","29.8","0.7","31.0","0.2","35.3","0.1","38.2","0.5","38.1","0.9","35.6","0.4","32.1","1.0","29.7","2.4","34.7","0.2","37.4","0.2","40.1","0.5","38.2","0.5","38.1","0.3","31.4","0.6","29.0","2.2","32.8","0.2","40.0","0.2"
"18 years and over","81.4","1.0","75.0","0.5","70.4","0.7","71.8","*****","77.2","0.1","78.2","0.3","76.5","0.3","78.7","0.4","71.9","1.3","73.0","*****","77.5","*****","88.5","0.4","81.4","1.0","89.3","0.8","77.4","1.7","67.6","4.6","79.1","*****","87.5","0.1","81.8","0.3","78.7","0.3","80.8","0.3","73.7","1.1","66.9","2.8","75.0","*****","81.3","0.1"
"21 years and over","77.1","1.1","70.7","0.6","64.8","0.8","66.4","0.3","73.0","0.3","75.3","0.4","71.9","0.4","75.5","0.5","66.8","1.4","68.3","0.3","74.1","0.1","85.7","0.5","77.6","1.1","85.7","1.1","71.0","2.1","65.2","5.2","74.2","0.4","84.5","0.2","78.8","0.4","74.5","0.4","77.7","0.4","68.8","1.1","64.1","2.7","70.6","0.3","78.2","0.1"
"62 years and over","24.1","1.1","13.9","0.6","8.7","0.5","10.7","0.3","17.5","0.4","17.4","0.3","15.3","0.3","12.4","0.4","8.2","0.9","11.0","0.3","16.0","0.1","19.4","0.4","17.9","0.9","14.7","0.9","13.9","1.6","12.0","2.4","16.3","0.5","18.1","0.3","21.0","0.4","16.2","0.5","14.1","0.4","7.6","0.8","9.5","2.1","10.5","0.3","18.9","0.2"
"65 years and over","20.5","0.9","10.8","0.4","6.9","0.5","8.7","*****","14.2","0.1","14.2","0.2","11.9","0.2","9.2","0.1","6.9","0.9","8.9","*****","12.7","0.1","16.0","0.3","14.2","0.5","11.4","0.6","10.3","1.2","8.9","2.0","12.5","*****","14.8","0.1","17.6","0.3","13.4","0.2","10.7","0.1","5.6","0.7","7.2","1.4","8.4","*****","15.4","0.1"
"Under 18 years","54402","4198","117445","3165","160473","5552","218716","*****","146566","428","243321","4795","207567","3658","62748","1735","64014","4669","137149","*****","467920","*****","105693","5012","45614","3054","20006","1697","46098","5527","20046","3965","87843","*****","150496","163","177375","5245","89531","2091","108117","2236","67520","4954","24716","3119","160465","*****","309036","436"
"Male","48.9","3.0","51.1","1.0","52.0","1.3","51.1","*****","51.1","0.1","51.5","0.6","49.6","0.6","52.4","1.0","53.2","2.4","51.0","*****","51.1","0.1","51.6","1.3","49.0","2.6","49.9","3.8","53.7","3.5","46.3","8.2","51.3","*****","50.6","0.1","51.5","1.1","49.4","1.2","51.2","0.6","51.7","3.1","54.1","4.6","50.9","*****","51.4","0.2"
"Female","51.1","3.0","48.9","1.0","48.0","1.3","48.9","*****","48.9","0.1","48.5","0.6","50.4","0.6","47.6","1.0","46.8","2.4","49.0","*****","48.9","0.1","48.4","1.3","51.0","2.6","50.1","3.8","46.3","3.5","53.7","8.2","48.7","*****","49.4","0.1","48.5","1.1","50.6","1.2","48.8","0.6","48.3","3.1","45.9","4.6","49.1","*****","48.6","0.2"
"18 years and over","238192","7683","352188","4717","381851","8782","556062","*****","497389","428","872323","8372","677163","5905","231818","1862","163588","8436","370731","*****","1616349","*****","814317","9662","199919","6055","166622","3549","158142","10980","41885","6653","331555","*****","1056265","163","796499","10396","331674","5048","454168","3911","189229","10461","50024","5442","481794","*****","1344880","436"
"Male","46.9","1.0","44.2","0.4","46.7","0.7","45.8","*****","45.9","0.1","48.6","0.2","42.0","0.2","48.3","0.3","49.1","1.2","48.4","*****","45.8","0.1","47.7","0.3","45.4","1.0","43.2","0.7","46.3","1.6","48.2","5.7","46.7","*****","46.6","0.1","49.0","0.3","44.3","0.5","48.0","0.2","49.7","1.3","46.4","2.9","50.1","*****","47.1","0.1"
"Female","53.1","1.0","55.8","0.4","53.3","0.7","54.2","*****","54.1","0.1","51.4","0.2","58.0","0.2","51.7","0.3","50.9","1.2","51.6","*****","54.2","0.1","52.3","0.3","54.6","1.0","56.8","0.7","53.7","1.6","51.8","5.7","53.3","*****","53.4","0.1","51.0","0.3","55.7","0.5","52.0","0.2","50.3","1.3","53.6","2.9","49.9","*****","52.9","0.1"
"18 to 34 years","68077","4079","120483","2894","158720","5415","221270","*****","157423","620","311717","4191","228367","3365","82221","1218","72741","4987","148230","*****","565650","436","303437","4944","67716","2586","70807","2226","65947","5462","18133","3188","124337","*****","404109","619","238190","6432","103472","2330","145221","2106","76779","6442","19532","2670","182875","*****","402055","630"
"Male","52.4","2.0","47.4","0.9","49.4","1.1","49.2","*****","48.8","0.3","49.9","0.4","46.0","0.5","47.9","0.7","53.6","2.0","52.2","*****","47.7","0.1","45.6","0.6","48.7","1.8","43.1","1.3","52.5","3.1","48.2","8.2","50.6","*****","45.4","0.1","51.2","0.7","48.1","1.0","48.6","0.5","54.2","2.3","46.6","5.1","53.2","*****","49.0","0.1"
"Female","47.6","2.0","52.6","0.9","50.6","1.1","50.8","*****","51.2","0.3","50.1","0.4","54.0","0.5","52.1","0.7","46.4","2.0","47.8","*****","52.3","0.1","54.4","0.6","51.3","1.8","56.9","1.3","47.5","3.1","51.8","8.2","49.4","*****","54.6","0.1","48.8","0.7","51.9","1.0","51.4","0.5","45.8","2.3","53.4","5.1","46.8","*****","51.0","0.1"
"35 to 64 years","110272","4236","181008","2749","185621","5277","267555","*****","248833","581","402710","4317","343621","3100","122357","1181","75247","4295","177498","*****","785518","512","364033","5493","97282","3761","74483","1569","71129","5815","18238","4178","154590","*****","473458","540","387237","5133","171919","2958","248809","2243","98061","5322","25141","3195","245124","*****","688581","696"
"Male","48.2","1.6","44.5","0.6","45.4","1.1","44.7","*****","46.9","0.1","50.3","0.3","41.3","0.3","48.6","0.3","46.9","1.9","47.6","*****","46.3","0.1","51.5","0.5","46.1","2.2","43.9","0.9","44.0","3.0","52.5","10.4","46.9","*****","49.6","0.1","51.2","0.4","44.8","0.6","48.2","0.3","47.0","1.8","47.2","4.2","50.1","*****","48.1","0.1"
"Female","51.8","1.6","55.5","0.6","54.6","1.1","55.3","*****","53.1","0.1","49.7","0.3","58.7","0.3","51.4","0.3","53.1","1.9","52.4","*****","53.7","0.1","48.5","0.5","53.9","2.2","56.1","0.9","56.0","3.0","47.5","10.4","53.1","*****","50.4","0.1","48.8","0.4","55.2","0.6","51.8","0.3","53.0","1.8","52.8","4.2","49.9","*****","51.9","0.1"
"65 years and over","59843","2500","50697","1785","37510","2702","67237","*****","91133","450","157896","2224","105175","1498","27240","289","15600","2122","45003","*****","265181","271","146847","2096","34921","1704","21332","1347","21066","2818","5514","1446","52628","*****","178698","466","171072","2048","56283","950","60138","802","14389","1756","5351","1269","53795","*****","254244","428"
"Male","38.1","1.5","35.4","1.4","41.5","2.7","38.7","*****","38.2","0.3","41.6","0.4","35.9","0.5","48.2","0.5","39.2","4.8","39.2","*****","40.2","0.1","42.4","0.7","37.1","2.0","40.7","1.5","34.5","5.7","33.9","10.2","37.0","*****","41.2","0.1","41.2","0.4","36.0","0.7","45.5","0.5","44.1","5.1","42.5","9.4","39.6","*****","41.6","0.1"
"Female","61.9","1.5","64.6","1.4","58.5","2.7","61.3","*****","61.8","0.3","58.4","0.4","64.1","0.5","51.8","0.5","60.8","4.8","60.8","*****","59.8","0.1","57.6","0.7","62.9","2.0","59.3","1.5","65.5","5.7","66.1","10.2","63.0","*****","58.8","0.1","58.8","0.4","64.0","0.7","54.5","0.5","55.9","5.1","57.5","9.4","60.4","*****","58.4","0.1"
"RELATIONSHIP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Population in households","278975","10633","451815","6465","532217","12840","760126","1924","614616","3035","1103594","11378","865931","9059","292636","2710","221350","11153","499111","1466","2052308","3991","885467","13342","227761","7630","180242","4565","203426","14912","61199","8751","410551","1324","1154871","3905","959343","14337","413415","6229","560133","4979","255747","14265","73790","7335","637069","829","1632587","2507"
"Householder or spouse","53.6","1.7","44.4","1.1","40.2","0.9","41.3","0.7","48.1","0.9","56.9","0.6","44.9","0.7","47.4","1.0","40.6","1.8","42.5","1.0","51.6","0.4","66.9","1.2","47.6","1.9","63.0","2.5","36.5","1.9","40.1","4.1","40.9","1.5","64.8","0.9","55.7","0.8","45.3","0.9","49.3","1.0","41.2","1.4","38.8","2.8","41.8","0.8","53.2","0.5"
"Child","30.4","1.4","36.1","1.3","40.5","1.3","39.7","0.9","33.5","0.9","29.4","0.5","34.8","0.7","30.0","1.0","34.2","1.7","34.5","1.1","31.5","0.4","15.8","0.7","32.7","2.1","17.1","1.5","36.9","2.6","40.2","4.1","34.9","1.5","17.7","0.5","26.9","0.7","34.6","1.1","29.2","0.8","35.0","1.7","43.4","3.8","33.3","1.0","29.2","0.4"
"Other relatives","10.3","1.2","14.1","1.7","12.8","1.3","12.8","1.0","13.1","1.3","5.8","0.5","15.2","0.9","16.1","1.4","15.0","1.9","15.1","1.3","10.1","0.5","3.9","0.7","11.4","2.3","6.9","2.0","18.7","2.6","12.4","4.4","16.6","1.8","4.4","0.6","9.4","0.8","15.0","1.2","15.5","1.2","15.7","2.1","12.8","2.9","14.8","1.1","11.9","0.6"
"Nonrelatives","5.7","0.9","5.3","0.7","6.6","1.0","6.1","0.8","5.3","0.5","7.9","0.5","5.1","0.5","6.4","0.9","10.1","1.5","7.9","0.9","6.7","0.3","13.4","0.9","8.2","1.5","13.0","1.8","7.9","2.2","7.4","2.1","7.6","1.4","13.1","0.7","8.0","0.8","5.1","0.6","6.1","0.7","8.1","1.3","5.1","1.9","10.0","1.1","5.7","0.4"
"Unmarried partner","2.5","0.5","1.7","0.3","2.6","0.4","2.5","0.4","1.7","0.2","2.5","0.2","1.8","0.2","1.0","0.3","2.8","0.6","2.6","0.4","2.0","0.1","2.9","0.3","1.5","0.5","2.0","0.7","1.5","0.5","2.9","1.1","1.6","0.4","2.7","0.2","2.2","0.2","1.5","0.3","0.8","0.2","2.5","0.6","1.4","0.7","2.8","0.3","1.3","0.1"
"HOUSEHOLDS BY TYPE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Households","113125","3848","165383","4415","169830","4923","251052","4192","230091","4933","440263","5178","312283","5374","86887","2051","66664","3343","158788","3528","766701","5243","463653","7160","95700","4287","83027","4142","60004","4505","20730","2736","136575","5047","589782","7619","380942","4972","138662","3039","171035","3639","71334","3624","19754","2094","188805","4184","595438","5069"
"Family households","56.8","2.0","63.2","2.1","71.8","2.0","69.3","1.6","61.1","1.8","57.3","1.0","65.6","1.2","77.2","2.0","75.4","2.7","71.7","1.6","61.6","0.8","35.1","1.1","43.3","3.1","44.4","3.2","69.0","4.2","48.1","7.8","56.3","2.7","36.8","1.0","58.5","1.2","68.3","2.1","76.9","1.5","80.2","2.5","73.3","4.6","74.2","1.8","64.3","1.1"
"With own children under 18 years","21.0","1.9","31.5","1.8","41.6","1.8","37.3","1.3","28.2","1.5","25.2","0.8","29.4","1.3","36.9","2.6","45.5","3.0","37.0","1.7","27.7","0.7","13.3","1.0","20.0","2.5","15.7","2.4","30.7","3.7","20.2","6.7","22.6","1.8","14.6","0.9","21.9","1.0","28.0","1.5","33.5","1.6","45.1","2.9","32.8","5.1","37.8","1.6","24.8","0.8"
"Married-couple family","32.1","2.3","21.6","1.5","25.5","2.2","25.4","1.6","28.5","1.3","43.4","1.0","23.8","1.3","58.2","2.6","35.5","3.2","33.6","1.8","38.2","0.9","27.9","1.2","12.6","2.2","34.7","2.7","23.2","3.6","25.5","7.1","21.8","2.0","27.2","1.0","41.1","1.1","33.3","2.0","60.0","1.6","47.6","3.4","50.3","4.2","41.6","2.0","45.6","1.0"
"With own children under 18 years","10.5","1.4","9.4","1.1","14.1","1.5","12.4","1.2","11.9","1.0","20.1","0.8","10.2","0.8","30.5","2.4","22.3","2.8","18.1","1.5","17.8","0.6","10.8","0.9","5.0","1.3","12.3","2.1","13.3","2.5","10.6","5.3","9.7","1.5","10.6","0.8","15.7","0.8","14.7","1.3","28.7","1.6","26.4","2.8","25.1","4.8","21.3","1.6","19.1","0.7"
"Female householder, no husband present, family","18.4","1.8","33.7","1.9","37.8","1.9","35.9","1.5","25.5","1.2","10.1","0.6","33.9","1.2","11.3","1.6","30.6","2.9","28.9","1.7","18.0","0.5","5.4","0.6","25.9","2.6","7.1","1.9","36.2","4.6","19.7","5.8","27.9","2.4","7.5","0.7","11.8","0.8","28.0","1.7","9.9","1.0","23.4","2.6","17.1","4.1","21.8","1.5","13.5","0.6"
"With own children under 18 years","8.7","1.6","19.5","1.5","23.9","1.6","21.7","1.3","14.0","1.1","4.0","0.5","16.3","1.0","5.1","1.1","18.5","2.3","15.2","1.2","8.2","0.4","2.1","0.4","12.8","2.0","2.7","1.2","14.7","3.2","8.2","4.1","11.3","1.6","3.3","0.5","4.3","0.6","10.9","1.5","3.3","0.6","13.8","2.1","6.0","2.4","11.5","1.2","4.5","0.4"
"Nonfamily households","43.2","2.0","36.8","2.1","28.2","2.0","30.7","1.6","38.9","1.8","42.7","1.0","34.4","1.2","22.8","2.0","24.6","2.7","28.3","1.6","38.4","0.8","64.9","1.1","56.7","3.1","55.6","3.2","31.0","4.2","51.9","7.8","43.7","2.7","63.2","1.0","41.5","1.2","31.7","2.1","23.1","1.5","19.8","2.5","26.7","4.6","25.8","1.8","35.7","1.1"
"Male householder","17.8","1.6","16.6","1.6","14.6","1.7","14.2","1.2","17.5","1.2","19.2","0.8","13.7","0.9","11.7","1.4","11.6","2.1","13.6","1.3","16.5","0.6","29.7","0.9","21.9","2.4","21.6","2.2","14.4","3.0","23.5","6.2","19.6","2.1","27.7","0.7","18.8","0.8","12.7","1.7","10.9","1.3","10.9","1.9","11.0","2.9","14.1","1.5","15.3","0.7"
"Living alone","15.3","1.5","14.6","1.5","12.2","1.6","12.0","1.2","15.3","1.1","13.3","0.8","11.4","0.9","7.6","1.2","7.3","1.7","9.6","1.1","12.2","0.6","22.5","0.9","18.9","2.4","16.7","2.2","11.4","2.8","18.9","5.9","15.7","2.0","21.4","0.8","14.3","0.8","10.0","1.4","7.4","1.0","6.9","1.6","7.2","2.3","9.1","1.2","11.8","0.6"
"Not living alone","2.5","0.6","2.0","0.5","2.4","0.7","2.2","0.5","2.2","0.5","5.8","0.5","2.3","0.5","4.1","0.8","4.4","1.2","4.0","0.8","4.4","0.3","7.1","0.5","3.0","1.3","5.0","1.3","3.0","1.5","4.6","2.6","3.9","1.0","6.4","0.5","4.5","0.5","2.6","0.7","3.5","0.7","4.0","1.4","3.8","2.0","4.9","0.9","3.6","0.4"
"Female householder","25.4","1.8","20.2","1.5","13.6","1.5","16.5","1.1","21.3","1.3","23.5","0.7","20.7","1.0","11.1","1.5","12.9","2.1","14.7","1.2","21.9","0.6","35.3","1.0","34.8","2.7","33.9","2.7","16.6","2.9","28.4","7.3","24.1","2.4","35.5","1.0","22.7","0.8","19.0","1.6","12.3","1.3","9.0","1.8","15.7","4.2","11.7","1.3","20.4","0.8"
"Living alone","23.4","1.8","18.6","1.4","11.9","1.6","14.7","1.2","19.5","1.2","18.2","0.7","18.8","0.9","7.6","1.1","10.4","2.1","12.2","1.1","17.7","0.5","29.8","1.1","32.8","2.7","27.2","2.7","15.0","2.9","22.3","5.7","21.6","2.3","30.1","1.0","19.6","0.8","17.2","1.5","9.5","1.2","7.5","1.6","13.1","4.0","9.8","1.3","17.5","0.8"
"Not living alone","2.0","0.7","1.6","0.5","1.7","0.5","1.8","0.4","1.8","0.5","5.4","0.5","2.0","0.4","3.5","0.9","2.5","0.9","2.5","0.6","4.2","0.3","5.5","0.4","2.1","0.8","6.7","1.6","1.6","0.8","6.1","4.6","2.5","0.6","5.4","0.4","3.1","0.5","1.9","0.6","2.8","0.6","1.5","0.8","2.6","1.7","1.9","0.5","2.9","0.4"
