"Occupations","Gender","Boroughs","year","Salary","year_range"
"Food preparation and serving related occupations","Male","Kings County","year2019",26124,"year2017_2019"
"Building and grounds cleaning and maintenance occupations","Male","Kings County","year2010",28636,"year2010_2013"
"Building and grounds cleaning and maintenance occupations","Male","Kings County","year2011",28009,"year2010_2013"
"Building and grounds cleaning and maintenance occupations","Male","Kings County","year2012",25616,"year2010_2013"
"Building and grounds cleaning and maintenance occupations","Male","Kings County","year2013",27365,"year2010_2013"
"Building and grounds cleaning and maintenance occupations","Male","Kings County","year2014",28360,"year2014_2016"
"Building and grounds cleaning and maintenance occupations","Male","Kings County","year2015",26992,"year2014_2016"
"Building and grounds cleaning and maintenance occupations","Male","Kings County","year2016",28465,"year2014_2016"
"Building and grounds cleaning and maintenance occupations","Male","Kings County","year2017",31163,"year2017_2019"
"Building and grounds cleaning and maintenance occupations","Male","Kings County","year2018",30131,"year2017_2019"
"Building and grounds cleaning and maintenance occupations","Male","Kings County","year2019",34206,"year2017_2019"
"Personal care and service occupations","Male","Kings County","year2010",21830,"year2010_2013"
"Personal care and service occupations","Male","Kings County","year2011",25427,"year2010_2013"
"Personal care and service occupations","Male","Kings County","year2012",21953,"year2010_2013"
"Personal care and service occupations","Male","Kings County","year2013",22234,"year2010_2013"
"Personal care and service occupations","Male","Kings County","year2014",21782,"year2014_2016"
"Personal care and service occupations","Male","Kings County","year2015",21123,"year2014_2016"
"Personal care and service occupations","Male","Kings County","year2016",24275,"year2014_2016"
"Personal care and service occupations","Male","Kings County","year2017",25993,"year2017_2019"
"Personal care and service occupations","Male","Kings County","year2018",29294,"year2017_2019"
"Personal care and service occupations","Male","Kings County","year2019",30314,"year2017_2019"
"Sales and related occupations","Male","Kings County","year2010",31312,"year2010_2013"
"Sales and related occupations","Male","Kings County","year2011",30052,"year2010_2013"
"Sales and related occupations","Male","Kings County","year2012",30041,"year2010_2013"
"Sales and related occupations","Male","Kings County","year2013",30518,"year2010_2013"
"Sales and related occupations","Male","Kings County","year2014",30637,"year2014_2016"
"Sales and related occupations","Male","Kings County","year2015",35124,"year2014_2016"
"Sales and related occupations","Male","Kings County","year2016",33485,"year2014_2016"
"Sales and related occupations","Male","Kings County","year2017",34683,"year2017_2019"
"Sales and related occupations","Male","Kings County","year2018",43537,"year2017_2019"
"Sales and related occupations","Male","Kings County","year2019",45451,"year2017_2019"
"Office and administrative support occupations","Male","Kings County","year2010",31633,"year2010_2013"
"Office and administrative support occupations","Male","Kings County","year2011",30698,"year2010_2013"
"Office and administrative support occupations","Male","Kings County","year2012",30375,"year2010_2013"
"Office and administrative support occupations","Male","Kings County","year2013",31884,"year2010_2013"
"Office and administrative support occupations","Male","Kings County","year2014",33396,"year2014_2016"
"Office and administrative support occupations","Male","Kings County","year2015",32059,"year2014_2016"
"Office and administrative support occupations","Male","Kings County","year2016",31678,"year2014_2016"
"Office and administrative support occupations","Male","Kings County","year2017",30948,"year2017_2019"
"Office and administrative support occupations","Male","Kings County","year2018",37297,"year2017_2019"
"Office and administrative support occupations","Male","Kings County","year2019",41152,"year2017_2019"
"Farming, fishing, and forestry occupations","Male","Kings County","year2010",35486,"year2010_2013"
"Farming, fishing, and forestry occupations","Male","Kings County","year2011",26890,"year2010_2013"
"Farming, fishing, and forestry occupations","Male","Kings County","year2012",30818,"year2010_2013"
"Farming, fishing, and forestry occupations","Male","Kings County","year2013",11114,"year2010_2013"
"Farming, fishing, and forestry occupations","Male","Kings County","year2014",22746,"year2014_2016"
"Farming, fishing, and forestry occupations","Male","Kings County","year2015",31607,"year2014_2016"
"Farming, fishing, and forestry occupations","Male","Kings County","year2016",31399,"year2014_2016"
"Farming, fishing, and forestry occupations","Male","Kings County","year2017",21539,"year2017_2019"
"Farming, fishing, and forestry occupations","Male","Kings County","year2018",40869,"year2017_2019"
"Farming, fishing, and forestry occupations","Male","Kings County","year2019",31742,"year2017_2019"
"Construction and extraction occupations","Male","Kings County","year2010",30602,"year2010_2013"
"Construction and extraction occupations","Male","Kings County","year2011",27589,"year2010_2013"
"Construction and extraction occupations","Male","Kings County","year2012",31679,"year2010_2013"
"Construction and extraction occupations","Male","Kings County","year2013",31415,"year2010_2013"
"Construction and extraction occupations","Male","Kings County","year2014",32204,"year2014_2016"
"Construction and extraction occupations","Male","Kings County","year2015",32553,"year2014_2016"
"Construction and extraction occupations","Male","Kings County","year2016",31199,"year2014_2016"
"Construction and extraction occupations","Male","Kings County","year2017",35533,"year2017_2019"
"Construction and extraction occupations","Male","Kings County","year2018",35803,"year2017_2019"
"Construction and extraction occupations","Male","Kings County","year2019",42698,"year2017_2019"
