Occupations,Gender,Boroughs,year,Salary,year_range,Salary_avg,Salary_year,Salary_county,Salary_gender,Salary_YearlyAvg
Legal occupations,Male,Bronx County,year2015,61862.0,year2014_2016,69151.0,91934.26666666666,64577.8,106772.7,91585.2
Legal occupations,Male,Bronx County,year2016,82057.0,year2014_2016,69151.0,91934.26666666666,64577.8,106772.7,100981.1
Legal occupations,Male,Bronx County,year2017,92083.0,year2017_2019,83623.0,103607.99999999999,64577.8,106772.7,96452.0
Legal occupations,Male,Bronx County,year2018,60543.0,year2017_2019,83623.0,103607.99999999999,64577.8,106772.7,104282.1
Legal occupations,Male,Bronx County,year2019,98243.0,year2017_2019,83623.0,103607.99999999999,64577.8,106772.7,110089.9
"Education, training, and library occupations",Male,Bronx County,year2010,46088.0,year2010_2013,42956.75,43742.75,39589.0,50621.52,47362.6
"Education, training, and library occupations",Male,Bronx County,year2011,51832.0,year2010_2013,42956.75,43742.75,39589.0,50621.52,44433.2
"Education, training, and library occupations",Male,Bronx County,year2012,34219.0,year2010_2013,42956.75,43742.75,39589.0,50621.52,40823.8
"Education, training, and library occupations",Male,Bronx County,year2013,39688.0,year2010_2013,42956.75,43742.75,39589.0,50621.52,42351.4
"Education, training, and library occupations",Male,Bronx County,year2014,38790.0,year2014_2016,38381.0,46244.600000000006,39589.0,50621.52,43953.1
"Education, training, and library occupations",Male,Bronx County,year2015,43103.0,year2014_2016,38381.0,46244.600000000006,39589.0,50621.52,48814.3
"Education, training, and library occupations",Male,Bronx County,year2016,33250.0,year2014_2016,38381.0,46244.600000000006,39589.0,50621.52,45966.4
"Education, training, and library occupations",Male,Bronx County,year2017,51480.0,year2017_2019,47099.33333333334,50006.60000000003,39589.0,50621.52,49658.9
"Education, training, and library occupations",Male,Bronx County,year2018,44607.0,year2017_2019,47099.33333333334,50006.60000000003,39589.0,50621.52,49443.3
"Education, training, and library occupations",Male,Bronx County,year2019,45211.0,year2017_2019,47099.33333333334,50006.60000000003,39589.0,50621.52,50917.6
"Arts, design, entertainment, sports, and media occupations",Male,Bronx County,year2010,35569.0,year2010_2013,36170.5,46925.55,37147.0,51710.42,47020.0
"Arts, design, entertainment, sports, and media occupations",Male,Bronx County,year2011,32840.0,year2010_2013,36170.5,46925.55,37147.0,51710.42,45915.1
"Arts, design, entertainment, sports, and media occupations",Male,Bronx County,year2012,29458.0,year2010_2013,36170.5,46925.55,37147.0,51710.42,45216.5
"Arts, design, entertainment, sports, and media occupations",Male,Bronx County,year2013,46815.0,year2010_2013,36170.5,46925.55,37147.0,51710.42,49550.6
"Arts, design, entertainment, sports, and media occupations",Male,Bronx County,year2014,36098.0,year2014_2016,34305.333333333336,47279.4,37147.0,51710.42,47612.2
"Arts, design, entertainment, sports, and media occupations",Male,Bronx County,year2015,35784.0,year2014_2016,34305.333333333336,47279.4,37147.0,51710.42,44764.9
"Arts, design, entertainment, sports, and media occupations",Male,Bronx County,year2016,31034.0,year2014_2016,34305.333333333336,47279.4,37147.0,51710.42,49461.1
"Arts, design, entertainment, sports, and media occupations",Male,Bronx County,year2017,40477.0,year2017_2019,47480.33333333334,54254.0,37147.0,51710.42,50737.8
"Arts, design, entertainment, sports, and media occupations",Male,Bronx County,year2018,40793.0,year2017_2019,47480.33333333334,54254.0,37147.0,51710.42,55391.6
"Arts, design, entertainment, sports, and media occupations",Male,Bronx County,year2019,61171.0,year2017_2019,47480.33333333334,54254.0,37147.0,51710.42,56632.6
Health diagnosing and treating practitioners and other technical occupations,Male,Bronx County,year2010,81106.0,year2010_2013,68395.0,76881.1,71399.05,87711.48,75638.6
Health diagnosing and treating practitioners and other technical occupations,Male,Bronx County,year2011,64250.0,year2010_2013,68395.0,76881.1,71399.05,87711.48,73883.1
Health diagnosing and treating practitioners and other technical occupations,Male,Bronx County,year2012,61218.0,year2010_2013,68395.0,76881.1,71399.05,87711.48,78010.5
Health diagnosing and treating practitioners and other technical occupations,Male,Bronx County,year2013,67006.0,year2010_2013,68395.0,76881.1,71399.05,87711.48,79992.2
Health diagnosing and treating practitioners and other technical occupations,Male,Bronx County,year2014,66363.0,year2014_2016,76393.0,80990.96666666665,71399.05,87711.48,78564.4
Health diagnosing and treating practitioners and other technical occupations,Male,Bronx County,year2015,80287.0,year2014_2016,76393.0,80990.96666666665,71399.05,87711.48,85304.5
Health diagnosing and treating practitioners and other technical occupations,Male,Bronx County,year2016,82529.0,year2014_2016,76393.0,80990.96666666665,71399.05,87711.48,79104.0
Health diagnosing and treating practitioners and other technical occupations,Male,Bronx County,year2017,62091.0,year2017_2019,66753.0,88019.46666666672,71399.05,87711.48,81811.7
Health diagnosing and treating practitioners and other technical occupations,Male,Bronx County,year2018,71750.0,year2017_2019,66753.0,88019.46666666672,71399.05,87711.48,89215.4
Health diagnosing and treating practitioners and other technical occupations,Male,Bronx County,year2019,66418.0,year2017_2019,66753.0,88019.46666666672,71399.05,87711.48,93031.3
Health technologists and technicians,Male,Bronx County,year2010,44469.0,year2010_2013,46468.0,44839.55,43442.75,48739.62,42933.6
Health technologists and technicians,Male,Bronx County,year2011,45636.0,year2010_2013,46468.0,44839.55,43442.75,48739.62,44811.3
Health technologists and technicians,Male,Bronx County,year2012,51704.0,year2010_2013,46468.0,44839.55,43442.75,48739.62,45250.0
Health technologists and technicians,Male,Bronx County,year2013,44063.0,year2010_2013,46468.0,44839.55,43442.75,48739.62,46363.3
Health technologists and technicians,Male,Bronx County,year2014,50592.0,year2014_2016,45616.33333333334,44137.433333333334,43442.75,48739.62,46182.7
Health technologists and technicians,Male,Bronx County,year2015,40350.0,year2014_2016,45616.33333333334,44137.433333333334,43442.75,48739.62,41390.0
Health technologists and technicians,Male,Bronx County,year2016,45907.0,year2014_2016,45616.33333333334,44137.433333333334,43442.75,48739.62,44839.6
Health technologists and technicians,Male,Bronx County,year2017,49470.0,year2017_2019,49310.66666666666,50695.6,43442.75,48739.62,46589.3
Health technologists and technicians,Male,Bronx County,year2018,46242.0,year2017_2019,49310.66666666666,50695.6,43442.75,48739.62,52378.6
Health technologists and technicians,Male,Bronx County,year2019,52220.0,year2017_2019,49310.66666666666,50695.6,43442.75,48739.62,53118.9
Healthcare support occupations,Male,Bronx County,year2010,35139.0,year2010_2013,30882.5,26701.375,24718.95,29284.28,28315.1
Healthcare support occupations,Male,Bronx County,year2011,26759.0,year2010_2013,30882.5,26701.375,24718.95,29284.28,26334.3
Healthcare support occupations,Male,Bronx County,year2012,31369.0,year2010_2013,30882.5,26701.375,24718.95,29284.28,25868.3
Healthcare support occupations,Male,Bronx County,year2013,30263.0,year2010_2013,30882.5,26701.375,24718.95,29284.28,26287.8
Healthcare support occupations,Male,Bronx County,year2014,27053.0,year2014_2016,29186.33333333333,25633.000000000004,24718.95,29284.28,24499.6
Healthcare support occupations,Male,Bronx County,year2015,27765.0,year2014_2016,29186.33333333333,25633.000000000004,24718.95,29284.28,26647.6
Healthcare support occupations,Male,Bronx County,year2016,32741.0,year2014_2016,29186.33333333333,25633.000000000004,24718.95,29284.28,25751.8
Healthcare support occupations,Male,Bronx County,year2017,29344.0,year2017_2019,27111.66666666667,26255.399999999998,24718.95,29284.28,25245.4
Healthcare support occupations,Male,Bronx County,year2018,25939.0,year2017_2019,27111.66666666667,26255.399999999998,24718.95,29284.28,26585.2
Healthcare support occupations,Male,Bronx County,year2019,26052.0,year2017_2019,27111.66666666667,26255.399999999998,24718.95,29284.28,26935.6
"Fire fighting and prevention, and other protective service workers including supervisors",Male,Bronx County,year2010,24917.0,year2010_2013,28200.75,31289.725,25848.5,37739.66,30261.3
"Fire fighting and prevention, and other protective service workers including supervisors",Male,Bronx County,year2011,30254.0,year2010_2013,28200.75,31289.725,25848.5,37739.66,29108.1
"Fire fighting and prevention, and other protective service workers including supervisors",Male,Bronx County,year2012,30755.0,year2010_2013,28200.75,31289.725,25848.5,37739.66,32949.6
"Fire fighting and prevention, and other protective service workers including supervisors",Male,Bronx County,year2013,26877.0,year2010_2013,28200.75,31289.725,25848.5,37739.66,32839.9
"Fire fighting and prevention, and other protective service workers including supervisors",Male,Bronx County,year2014,25973.0,year2014_2016,28057.66666666667,29514.2,25848.5,37739.66,29797.5
"Fire fighting and prevention, and other protective service workers including supervisors",Male,Bronx County,year2015,31007.0,year2014_2016,28057.66666666667,29514.2,25848.5,37739.66,30215.6
"Fire fighting and prevention, and other protective service workers including supervisors",Male,Bronx County,year2016,27193.0,year2014_2016,28057.66666666667,29514.2,25848.5,37739.66,28529.5
"Fire fighting and prevention, and other protective service workers including supervisors",Male,Bronx County,year2017,32435.0,year2017_2019,32399.66666666667,35835.1,25848.5,37739.66,38574.0
"Fire fighting and prevention, and other protective service workers including supervisors",Male,Bronx County,year2018,34061.0,year2017_2019,32399.66666666667,35835.1,25848.5,37739.66,34964.8
"Fire fighting and prevention, and other protective service workers including supervisors",Male,Bronx County,year2019,30703.0,year2017_2019,32399.66666666667,35835.1,25848.5,37739.66,33966.5
Law enforcement workers including supervisors,Male,Bronx County,year2010,85363.0,year2010_2013,69452.0,68153.2,63229.2,74634.08,68247.6
Law enforcement workers including supervisors,Male,Bronx County,year2011,72654.0,year2010_2013,69452.0,68153.2,63229.2,74634.08,70108.7
Law enforcement workers including supervisors,Male,Bronx County,year2012,64814.0,year2010_2013,69452.0,68153.2,63229.2,74634.08,66834.1
Law enforcement workers including supervisors,Male,Bronx County,year2013,54977.0,year2010_2013,69452.0,68153.2,63229.2,74634.08,67422.4
Law enforcement workers including supervisors,Male,Bronx County,year2014,90816.0,year2014_2016,71953.0,67705.0,63229.2,74634.08,69203.4
Law enforcement workers including supervisors,Male,Bronx County,year2015,63261.0,year2014_2016,71953.0,67705.0,63229.2,74634.08,69478.0
Law enforcement workers including supervisors,Male,Bronx County,year2016,61782.0,year2014_2016,71953.0,67705.0,63229.2,74634.08,64433.6
Law enforcement workers including supervisors,Male,Bronx County,year2017,58658.0,year2017_2019,65576.66666666669,71211.86666666667,63229.2,74634.08,69608.7
Law enforcement workers including supervisors,Male,Bronx County,year2018,62744.0,year2017_2019,65576.66666666669,71211.86666666667,63229.2,74634.08,68949.0
Law enforcement workers including supervisors,Male,Bronx County,year2019,75328.0,year2017_2019,65576.66666666669,71211.86666666667,63229.2,74634.08,75077.9
Food preparation and serving related occupations,Male,Bronx County,year2010,19478.0,year2010_2013,19281.5,18307.25,18486.25,22323.66,18100.9
Food preparation and serving related occupations,Male,Bronx County,year2011,20006.0,year2010_2013,19281.5,18307.25,18486.25,22323.66,18584.2
Food preparation and serving related occupations,Male,Bronx County,year2012,19587.0,year2010_2013,19281.5,18307.25,18486.25,22323.66,17711.9
Food preparation and serving related occupations,Male,Bronx County,year2013,18055.0,year2010_2013,19281.5,18307.25,18486.25,22323.66,18832.0
Food preparation and serving related occupations,Male,Bronx County,year2014,20702.0,year2014_2016,20255.33333333333,19222.46666666667,18486.25,22323.66,17564.5
Food preparation and serving related occupations,Male,Bronx County,year2015,18768.0,year2014_2016,20255.33333333333,19222.46666666667,18486.25,22323.66,19305.9
